Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,ACABTC,82033016.23695187,2025-02-01 07:21:00,7.307299999999999e-07,0.059943985954824086,2025-02-01 10:20:00,7.492500000000001e-07,0.0614632374155362,1.3978442373380007,0.023319173976708494,Long,Closed,0
1,ACABTC,79684045.30231468,2025-02-01 10:58:00,7.307299999999999e-07,0.058227522423756284,2025-02-01 12:51:00,7.492500000000001e-07,0.05970327094275928,1.3578177256323616,0.023319173976708452,Long,Closed,1
2,ACABTC,85604070.13189626,2025-02-01 13:42:00,7.407399999999999e-07,0.06341035890949343,2025-02-01 20:28:00,7.0929e-07,0.0607181109038527,-2.816376475461471,-0.04441508491508461,Long,Closed,2
3,ACABTC,71530068.4218615,2025-02-01 20:47:00,7.006999999999999e-07,0.0501211189431956,2025-02-01 21:28:00,7.0929e-07,0.050735562230942145,0.5135866065696587,0.010246910232624697,Long,Closed,3
4,ACABTC,77766065.07311763,2025-02-01 22:59:00,7.006999999999999e-07,0.05449068179672878,2025-02-01 23:30:00,6.992999999999999e-07,0.054381809305631156,-0.21774498220472746,-0.003996003996003961,Long,Closed,4
5,ACABTC,66827461.85325857,2025-02-02 03:31:00,7.006999999999999e-07,0.046826002520575116,2025-02-02 03:48:00,7.0929e-07,0.04740005041789777,0.4798218443810225,0.010246910232624678,Long,Closed,5
6,ACABTC,119207294.8795545,2025-02-02 08:29:00,7.006999999999999e-07,0.08352855152209315,2025-02-02 08:56:00,7.0929e-07,0.0845525421851192,0.8559095693081702,0.010246910232624761,Long,Closed,6
7,ACABTC,80884190.97501811,2025-02-02 10:39:00,7.006999999999999e-07,0.05667555261619128,2025-02-02 13:38:00,7.0929e-07,0.057370347816670594,0.5807493000425495,0.010246910232624692,Long,Closed,7
8,ACABTC,61250774.59941812,2025-02-02 17:05:00,7.107099999999999e-07,0.0435315380155501,2025-02-02 19:38:00,6.5934e-07,0.04038508572438035,-3.2303689149120265,-0.07420755301036958,Long,Closed,8
9,ACABTC,85717052.1813523,2025-02-02 21:48:00,6.606599999999999e-07,0.056629827694123946,2025-02-02 23:47:00,6.4935e-07,0.05566036783396112,-1.0817500556991773,-0.019102125147579505,Long,Closed,9
10,ACABTC,69678797.72779359,2025-02-03 00:30:00,6.5065e-07,0.04533650974158121,2025-02-03 01:42:00,6.4935e-07,0.04524592730454277,-0.18116487409225432,-0.003996003996003797,Long,Closed,10
