Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
22,ACABTC,78989092.6002174,2025-02-06 18:15:00,5.7057e-07,0.04506880656489898,2025-02-06 19:50:00,5.694300000000001e-07,0.0449787589993418,-0.18009513112848174,-0.003996003996003687,Long,Closed,22
23,ACABTC,93351844.00656088,2025-02-06 20:30:00,5.7057e-07,0.05326376163481683,2025-02-07 02:40:00,5.8941e-07,0.055022510375907045,1.6504624690728837,0.030986592355013547,Long,Closed,23
24,ACABTC,99446371.9647103,2025-02-07 12:50:00,5.905899999999999e-07,0.05873203281863226,2025-02-07 20:18:00,5.794199999999999e-07,0.057621216843792435,-1.2271692245082382,-0.020894376809630938,Long,Closed,24
25,ACABTC,67050216.46258236,2025-02-08 00:10:00,5.805799999999999e-07,0.03892801467384288,2025-02-08 01:46:00,5.694300000000001e-07,0.03818040476028828,-0.8247183329919123,-0.02118572806503802,Long,Closed,25
26,ACABTC,99961909.24175864,2025-02-08 05:46:00,5.7057e-07,0.05703526655606339,2025-02-08 16:26:00,5.8941e-07,0.05891854892618496,1.7673285546324793,0.030986592355013436,Long,Closed,26
27,ACABTC,83977607.19660532,2025-02-08 16:38:00,5.905899999999999e-07,0.04959633503423788,2025-02-08 19:27:00,5.8941e-07,0.04949724145775115,-0.19818715298397727,-0.003996003996003769,Long,Closed,27
28,ACABTC,69473131.29755299,2025-02-09 00:27:00,6.005999999999999e-07,0.041725562657305204,2025-02-09 03:31:00,5.993999999999999e-07,0.04164219489975326,-0.16673551511412174,-0.003996003996003866,Long,Closed,28
29,ACABTC,58341334.9815551,2025-02-09 04:47:00,6.106099999999999e-07,0.03562380255308284,2025-02-09 06:34:00,5.993999999999999e-07,0.03496979618794412,-0.724599963884259,-0.020340331799348053,Long,Closed,29
30,ACABTC,109284265.86049925,2025-02-09 13:14:00,6.106099999999999e-07,0.06673006557707595,2025-02-09 14:00:00,5.8941e-07,0.06441323914083687,-2.4479697409604775,-0.03668465960269206,Long,Closed,30
31,ACABTC,65896650.65853496,2025-02-09 16:26:00,6.106099999999999e-07,0.04023715385860527,2025-02-09 18:06:00,5.8941e-07,0.03884014486464709,-1.4760862926841904,-0.03668465960269225,Long,Closed,31
32,ACABTC,99666599.82266487,2025-02-09 20:54:00,5.805799999999999e-07,0.057864434525036756,2025-02-09 20:55:00,5.794199999999999e-07,0.057748821269248476,-0.23122651158857205,-0.0039960039960038165,Long,Closed,32
33,ACABTC,68294834.91356747,2025-02-09 23:36:00,5.805799999999999e-07,0.03965061525411784,2025-02-10 01:52:00,5.694300000000001e-07,0.03888912784483273,-0.8400271523852112,-0.021185728065037965,Long,Closed,33
34,ACABTC,56427453.29759903,2025-02-10 05:48:00,5.805799999999999e-07,0.03276065083551316,2025-02-10 19:22:00,5.8941e-07,0.03325890524813784,0.4322348565341531,0.013193720073030773,Long,Closed,34
35,ACABTC,55273382.481965564,2025-02-11 05:29:00,6.005999999999999e-07,0.033197193518667234,2025-02-11 12:28:00,5.8941e-07,0.03257868436869532,-0.684285027860555,-0.02061273726273716,Long,Closed,35
36,ACABTC,105096723.31770858,2025-02-11 19:02:00,5.905899999999999e-07,0.062069073824197574,2025-02-11 23:19:00,5.794199999999999e-07,0.0608951434247467,-1.2968946167077484,-0.02089437680963091,Long,Closed,36
